Age,Number of Dependents,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,CLTV,Churn,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes,Referred a Friend_Yes,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check
70,0,43718,0,32,33.22,9,74.4,2276.95,44.31,0,1063.04,3295.68,1,2091,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
78,0,1526,0,2,5.49,25,85.55,187.45,0.0,0,10.98,198.43,3,5512,1,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
77,0,16599,1,30,6.23,4,79.65,2365.15,0.0,0,186.9,2552.05,3,2174,1,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,True,False
78,0,854,0,32,48.95,9,85.95,2628.6,0.0,0,1566.4,4195.0,3,2431,1,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False
75,0,303,0,38,47.39,2,99.55,3734.25,0.0,0,1800.82,5535.07,1,3474,1,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,True,False,False
76,0,282,0,2,12.96,20,95.1,180.25,0.0,0,25.92,206.17,3,4486,1,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,True,False,True,False,False,True,True,False
67,0,3193,1,3,0.0,20,36.45,93.7,0.0,0,0.0,93.7,1,3766,1,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False
69,0,73,0,1,0.0,21,25.05,25.05,0.0,0,0.0,25.05,1,4842,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
70,0,615,1,43,0.0,21,55.55,2342.2,0.0,0,0.0,2342.2,1,2573,1,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,True,False
77,0,26438,0,37,41.85,2,106.75,4056.75,0.0,0,1548.45,5605.2,1,5849,1,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,True,True,False,True,False,False,True,False,False
70,0,348,0,35,35.1,29,95.45,3474.05,0.0,80,1228.5,4782.55,2,2080,1,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
68,0,678,0,1,45.8,10,69.6,69.6,0.0,0,45.8,115.4,2,2151,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
65,0,45025,0,1,18.37,13,78.45,78.45,0.0,0,18.37,96.82,1,2139,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
76,0,4258,0,9,12.91,21,84.45,762.5,0.0,0,116.19,878.69,3,3543,1,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
73,0,44150,0,38,5.75,30,70.15,2497.35,0.0,0,218.5,2715.85,3,2645,1,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,False
70,0,30568,0,51,19.49,11,97.8,4913.3,0.0,0,993.99,5907.29,2,6204,1,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
69,0,40705,1,53,7.94,6,101.9,5549.4,0.0,0,420.82,5970.219999999999,1,5884,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False
80,0,62425,1,51,22.14,30,93.8,4750.95,0.0,0,1129.14,5880.09,1,4788,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False
67,0,22177,1,50,31.56,4,95.05,4888.7,0.0,50,1578.0,6516.7,3,5863,1,False,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False
80,0,9278,2,51,43.58,22,84.2,4146.05,0.0,0,2222.58,6368.63,2,6245,1,True,False,True,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
72,0,7863,0,26,1.26,18,105.75,2710.25,0.0,90,32.76,2833.01,1,3157,1,True,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False
73,0,17944,1,1,24.24,9,49.55,49.55,0.0,0,24.24,73.78999999999999,1,4989,1,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
75,0,1831,1,2,6.86,20,50.15,115.1,0.0,0,13.72,128.82,1,5461,1,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
70,0,2615,1,29,35.38,21,95.9,2745.2,0.0,50,1026.02,3821.22,3,2151,1,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False
77,0,44692,0,1,0.0,15,25.25,25.25,0.0,0,0.0,25.25,2,4628,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
80,0,47224,1,46,5.36,22,101.0,4680.05,0.0,0,246.56,4926.610000000001,1,2436,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
78,0,3873,0,1,24.75,22,71.15,71.15,0.0,20,24.75,115.9,3,5287,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
71,0,732,1,46,48.62,3,80.4,3605.2,0.0,20,2236.52,5861.719999999999,3,4876,1,True,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
66,0,5256,0,1,26.22,22,55.8,55.8,0.0,0,26.22,82.02,1,5527,1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
77,0,31230,0,41,42.06,21,98.4,4187.75,0.0,0,1724.46,5912.21,1,2169,1,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
68,0,12083,0,35,39.69,25,101.4,3496.3,0.0,0,1389.15,4885.45,3,3689,1,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
79,0,12149,0,26,34.69,27,91.25,2351.8,0.0,0,901.94,3253.74,3,5154,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
65,0,4546,0,1,28.46,12,71.65,71.65,0.0,0,28.46,100.11,2,5674,1,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
70,0,36817,0,1,48.95,23,74.2,74.2,0.0,0,48.95,123.15,2,4684,1,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
68,0,3070,8,43,31.25,20,101.0,4388.4,0.0,150,1343.75,5882.15,1,3123,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False
80,0,46171,3,25,33.63,25,89.05,2177.45,0.0,0,840.7500000000001,3018.2,1,2673,1,True,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False
65,0,13422,1,1,49.6,13,70.85,70.85,0.0,0,49.6,120.45,2,3022,1,True,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
66,0,44117,1,41,45.04,29,111.95,4534.9,0.0,0,1846.64,6381.539999999999,2,3711,1,True,False,True,True,False,True,True,False,False,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,False,False
69,0,2966,0,2,43.96,14,78.55,149.55,0.0,0,87.92,237.47000000000003,2,5203,1,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
66,0,18036,0,49,32.36,2,96.2,4718.25,0.0,0,1585.64,6303.889999999999,2,5904,1,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
75,0,823,0,6,8.91,27,74.4,434.1,0.0,20,53.46,507.56,1,3964,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
75,0,6918,1,7,21.43,12,84.55,646.85,0.0,0,150.01,796.86,1,5245,1,False,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
67,0,302,0,20,29.29,15,85.8,1727.5,0.0,0,585.8,2313.3,1,3336,1,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False
75,0,44741,0,54,33.49,8,101.5,5373.1,0.0,0,1808.46,7181.56,2,6405,1,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False
74,0,88,0,2,15.32,21,69.6,131.65,0.0,0,30.64,162.29000000000002,3,4596,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
67,0,34045,1,58,3.18,5,98.7,5812.6,0.0,0,184.44,5997.04,1,4662,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,True,False,False,True,False,False
74,0,18650,7,43,8.75,13,109.55,4830.25,0.0,0,376.25,5206.5,2,5863,1,False,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False
76,0,10520,0,49,44.88,15,90.85,4515.85,0.0,0,2199.1200000000003,6714.970000000001,2,5651,1,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False
80,0,18197,0,17,30.37,28,89.15,1496.9,0.0,0,516.29,2013.19,1,5082,1,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False
74,0,4353,1,41,45.84,18,83.75,3273.55,0.0,0,1879.44,5152.99,1,4995,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
76,0,1508,1,42,2.9,21,74.15,3229.4,0.0,0,121.8,3351.2000000000003,1,2322,1,False,False,True,True,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False
78,0,47613,1,11,1.28,14,99.55,1131.2,0.0,0,14.08,1145.28,3,3172,1,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
67,0,531,0,15,4.28,6,89.85,1424.95,0.0,0,64.2,1489.15,2,2668,1,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
79,0,27786,0,9,2.45,7,54.55,494.05,0.0,0,22.05,516.1,1,4656,1,True,False,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
78,0,21418,0,37,26.95,17,76.25,2841.55,0.0,0,997.15,3838.7,3,5859,1,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
71,0,265,0,3,2.26,3,70.4,204.7,0.0,0,6.779999999999999,211.48,3,2491,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
65,0,1845,0,8,0.0,4,29.4,221.9,0.0,0,0.0,221.9,1,5971,1,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
75,0,263,1,37,46.61,26,85.7,3171.15,0.0,0,1724.57,4895.72,2,4712,1,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
